Fine tune,Fine tune common adapter,Fine tune section adapter,Fine tune triplet adapter,Further fine tuned,Merging,CoT,k shot,Fusion Strategy,Explicit Evidence,Model,Retriever,Control_F1,Control_Rec,Control_Prec,Contrast_F1,Contrast_Rec,Contrast_Prec,Faithfulness,Consistency,para_Consistency,cont_Faithfulness,cont_Consistency,numerical_para_Consistency,numerical_cont_Faithfulness,numerical_cont_Consistency,definitions_Consistency,para_F1,para_Rec,para_Prec,cont_F1,cont_Rec,cont_Prec,numerical_para_F1,numerical_para_Rec,numerical_para_Prec,numerical_cont_F1,numerical_cont_Rec,numerical_cont_Prec,definitions_F1,definitions_Rec,definitions_Prec
yes,LoRA,,,,Single,no,0,,yes,Meditron-7B,,0.284023669,0.545454545,0.192,0.166585007,0.377777778,0.106851037,0.872685185,0.61532882,0.519333333,0.873333333,0.929333333,0.638392857,0.868421053,0.950617284,0.514666667,0.194413408,0.6,0.116,0,0,0,0.283185841,0.727272727,0.175824176,0,0,0,0.155452436,0.598214286,0.089333333
yes,LoRA,,LoRA,,Uniform averaged,no,0,,no,MistralLite-7B,,0.782426778,0.820175439,0.748,0.588314305,0.631578947,0.550597109,0.83912037,0.737185687,0.756666667,0.829333333,0.793333333,0.696428571,0.903508772,0.981481481,0.669333333,0.741318214,0.791225416,0.697333333,0,0,0,0.492537313,0.76744186,0.362637363,0,0,0,0.563380282,0.829015544,0.426666667
yes,Polytropon,,,,Single,no,0,,no,MistralLite-7B,,0.684095861,0.751196172,0.628,0.522818792,0.560835133,0.489629164,0.814814815,0.694874275,0.683333333,0.797333333,0.778666667,0.642857143,0.929824561,1.0,0.639333333,0.647887324,0.729549249,0.582666667,0,0,0,0.35483871,0.666666667,0.241758242,0,0,0,0.541913633,0.742459397,0.426666667
yes,Polytropon,,,,Single,no,0,,no,Mistral-7b-Instruct,,0.754940711,0.74609375,0.764,0.510953825,0.550872093,0.476429918,0.804398148,0.690038685,0.708666667,0.794666667,0.773333333,0.683035714,0.868421053,0.944444444,0.603333333,0.695045359,0.729136164,0.664,0,0,0,0.523489933,0.672413793,0.428571429,0,0,0,0.426229508,0.770034843,0.294666667
yes,,LoRA,,,Uniform averaged,no,0,,yes,Mistral-7b-Instruct,,0.699152542,0.743243243,0.66,0.544807506,0.561333333,0.529226901,0.789351852,0.703820116,0.692666667,0.772,0.8,0.651785714,0.903508772,0.925925926,0.650666667,0.668106551,0.726134585,0.618666667,0,0,0,0.450704225,0.62745098,0.351648352,0,0,0,0.569078947,0.74248927,0.461333333
yes,LoRA,,,,Single,no,0,,no,MistralLite-7B,,0.780582524,0.758490566,0.804,0.640687679,0.588730911,0.702702703,0.78125,0.742504836,0.754,0.778666667,0.750666667,0.696428571,0.798245614,0.895061728,0.717333333,0.767778477,0.727056019,0.813333333,0,0,0,0.575,0.666666667,0.505494505,0,0,0,0.685459941,0.772575251,0.616
yes,LoRA,,,,Single,no,0,,no,LLaMA2-13B-Chat,,0.676595745,0.722727273,0.636,0.459770115,0.497439649,0.427404148,0.773148148,0.661025145,0.665333333,0.758666667,0.745333333,0.629464286,0.868421053,0.882716049,0.595333333,0.637806638,0.694968553,0.589333333,0,0,0,0.44295302,0.568965517,0.362637363,0,0,0,0.403146509,0.767790262,0.273333333
yes,LoRA,,,,Single,no,0,,no,Mistral-7b-Instruct,,0.768932039,0.747169811,0.792,0.582202112,0.55974478,0.606536769,0.766203704,0.713974855,0.735333333,0.758666667,0.756,0.674107143,0.815789474,0.864197531,0.661333333,0.740353172,0.726572529,0.754666667,0,0,0,0.546583851,0.628571429,0.483516484,0,0,0,0.582922824,0.758547009,0.473333333
yes,LoRA,,,,Single,no,0,,yes,LLaMA2-13B-Chat,,0.765384615,0.737037037,0.796,0.567324955,0.541404911,0.595851666,0.758101852,0.700918762,0.718666667,0.750666667,0.741333333,0.65625,0.807017544,0.87654321,0.650666667,0.729139923,0.702970297,0.757333333,0,0,0,0.544378698,0.58974359,0.505494505,0,0,0,0.560402685,0.755656109,0.445333333
yes,LoRA,,,,Single,no,0,,yes,LLaMA2-7B-Chat,,0.574821853,0.707602339,0.484,0.334448161,0.409090909,0.282840981,0.737268519,0.621856867,0.632,0.714666667,0.742666667,0.611607143,0.885964912,0.901234568,0.522666667,0.581183612,0.674295775,0.510666667,0,0,0,0.304,0.558823529,0.208791209,0,0,0,0.118226601,0.774193548,0.064
yes,,,LoRA,yes,Single,no,0,,no,MistralLite-7B,,0.796905222,0.771535581,0.824,0.587081892,0.542354822,0.639849151,0.719907407,0.712282398,0.732666667,0.698666667,0.712,0.678571429,0.859649123,0.895061728,0.677333333,0.747003155,0.708982036,0.789333333,0,0,0,0.538461538,0.646153846,0.461538462,0,0,0,0.61341853,0.764940239,0.512
yes,LoRA,,,,Single,no,0,,no,LLaMA2-7B-Chat,,0.607305936,0.707446809,0.532,0.333091437,0.393991416,0.2884978,0.717592593,0.614603482,0.616,0.696,0.732,0.616071429,0.859649123,0.882716049,0.525333333,0.576470588,0.642622951,0.522666667,0,0,0,0.306451613,0.575757576,0.208791209,0,0,0,0.118811881,0.827586207,0.064
yes,LoRA,,,,Single,no,0,,yes,Mistral-7b-Instruct,,0.759924386,0.720430108,0.804,0.58420762,0.520925652,0.664990572,0.711805556,0.696083172,0.716666667,0.710666667,0.718666667,0.638392857,0.719298246,0.802469136,0.661333333,0.737816163,0.686567164,0.797333333,0,0,0,0.552486188,0.555555556,0.549450549,0,0,0,0.61746988,0.709342561,0.546666667
yes,,,LoRA,yes,Single,no,0,,no,Mistral-7b-Instruct,,0.763705104,0.724014337,0.808,0.571993224,0.519220912,0.636706474,0.710648148,0.693907157,0.729333333,0.702666667,0.678666667,0.647321429,0.763157895,0.814814815,0.66,0.742385787,0.708232446,0.78,0,0,0,0.538011696,0.575,0.505494505,0,0,0,0.599686028,0.729007634,0.509333333
yes,,LoRA,,,Uniform averaged,no,0,,yes,MistralLite-7B,,0.751445087,0.724907063,0.78,0.565017261,0.520954907,0.617221873,0.709490741,0.695116054,0.722,0.693333333,0.704,0.674107143,0.815789474,0.882716049,0.646666667,0.732520847,0.705809642,0.761333333,0,0,0,0.516556291,0.65,0.428571429,0,0,0,0.583987441,0.709923664,0.496
yes,LoRA,,,,Single,no,0,,no,Mistral-7b-Instruct,,0.776951673,0.725694444,0.836,0.583898075,0.513346044,0.676932747,0.704861111,0.690522244,0.712,0.701333333,0.702666667,0.625,0.728070175,0.777777778,0.663333333,0.73594132,0.679458239,0.802666667,0,0,0,0.543478261,0.537634409,0.549450549,0,0,0,0.627306273,0.702479339,0.566666667
yes,LoRA,,LoRA,,Uniform averaged,no,0,,no,Mistral-7b-Instruct,,0.776595745,0.697452229,0.876,0.620967742,0.518300379,0.774355751,0.688657407,0.701402321,0.722,0.685333333,0.676,0.660714286,0.710526316,0.765432099,0.692666667,0.754850088,0.675078864,0.856,0,0,0,0.586956522,0.580645161,0.593406593,0,0,0,0.699282453,0.684546616,0.714666667
yes,LoRA,LoRA,LoRA,,Uniform averaged,no,0,,no,Mistral-7b-Instruct,,0.778378378,0.708196721,0.864,0.604432855,0.516488414,0.728472659,0.6875,0.698500967,0.72,0.669333333,0.652,0.678571429,0.807017544,0.833333333,0.688666667,0.746987952,0.681318681,0.826666667,0,0,0,0.586206897,0.614457831,0.56043956,0,0,0,0.676368676,0.704184704,0.650666667
yes,LoRA,LoRA,,,Uniform averaged,no,0,,no,Mistral-7b-Instruct,,0.774545455,0.71,0.852,0.593874834,0.515249538,0.700817096,0.681712963,0.697775629,0.722,0.664,0.66,0.678571429,0.798245614,0.839506173,0.68,0.745576571,0.687289089,0.814666667,0,0,0,0.571428571,0.623376623,0.527472527,0,0,0,0.655172414,0.710280374,0.608
yes,LoRA,LoRA,LoRA,,Uniform averaged,no,0,,no,MistralLite-7B,,0.789565217,0.698461538,0.908,0.637575758,0.518942384,0.826524199,0.66087963,0.709381044,0.717333333,0.649333333,0.638666667,0.709821429,0.736842105,0.777777778,0.729333333,0.750881316,0.671218487,0.852,0,0,0,0.670050761,0.622641509,0.725274725,0,0,0,0.750307503,0.696347032,0.813333333
,,,,,,no,2,Late,no,Meditron-7B,BM25,0.392857143,0.542253521,0.308,0.260259558,0.294444444,0.233186675,0.702546296,0.552224371,0.504,0.704,0.718666667,0.549107143,0.692982456,0.641975309,0.508,0.397082658,0.506198347,0.326666667,0,0,0,0.416184971,0.43902439,0.395604396,0,0,0,0.196078431,0.535714286,0.12
yes,,LoRA,,,Uniform averaged,no,0,,no,Mistral-7b-Instruct,,0.768382353,0.710884354,0.836,0.581301902,0.506535948,0.681961031,0.66087963,0.692940039,0.721333333,0.633333333,0.650666667,0.647321429,0.842105263,0.864197531,0.674,0.743872549,0.688208617,0.809333333,0,0,0,0.496815287,0.590909091,0.428571429,0,0,0,0.64228237,0.711507293,0.585333333
yes,,LoRA,,,Uniform averaged,no,0,,no,Mistral-7b-Instruct,,0.715384615,0.688888889,0.744,0.53923432,0.474665392,0.624135764,0.66087963,0.660541586,0.692,0.652,0.638666667,0.620535714,0.719298246,0.796296296,0.631333333,0.701935484,0.68,0.725333333,0,0,0,0.514285714,0.535714286,0.494505495,0,0,0,0.593681117,0.661211129,0.538666667
,,,,,,yes,0,,no,Meditron-7B,,0.360824742,0.507246377,0.28,0.331540652,0.333757962,0.329352608,0.685185185,0.554883946,0.511333333,0.673333333,0.684,0.544642857,0.763157895,0.808641975,0.508,0.413130504,0.517034068,0.344,0,0,0,0.291666667,0.396226415,0.230769231,0,0,0,0.399022801,0.512552301,0.326666667
yes,LoRA,LoRA,,,Uniform averaged,no,0,,no,MistralLite-7B,,0.778156997,0.678571429,0.912,0.633255269,0.50466592,0.849780013,0.630787037,0.698500967,0.708666667,0.625333333,0.609333333,0.705357143,0.666666667,0.709876543,0.730666667,0.749282846,0.657603223,0.870666667,0,0,0,0.682692308,0.606837607,0.78021978,0,0,0,0.756626506,0.69010989,0.837333333
,,,,,,yes,0,,no,Mistral-7b-Instruct,,0.47082495,0.473684211,0.468,0.435994332,0.349224366,0.580138278,0.592592593,0.507736944,0.473333333,0.602666667,0.6,0.455357143,0.526315789,0.524691358,0.502,0.485677083,0.474554707,0.497333333,0,0,0,0.429906542,0.37398374,0.505494505,0,0,0,0.574358974,0.501492537,0.672
,,,,,,yes,0,,yes,Mistral-7b-Instruct,,0.478431373,0.469230769,0.488,0.4375,0.350930498,0.580766813,0.583333333,0.512572534,0.490666667,0.592,0.617333333,0.473214286,0.526315789,0.524691358,0.486666667,0.502604167,0.491094148,0.514666667,0,0,0,0.432692308,0.384615385,0.494505495,0,0,0,0.561503417,0.490059642,0.657333333
,,,,,,no,0,,yes,LLaMA2-13B-Chat,,0.542372881,0.512455516,0.576,0.428882966,0.348974763,0.556253928,0.569444444,0.520067698,0.524666667,0.585333333,0.561333333,0.473214286,0.464912281,0.549382716,0.498666667,0.55576324,0.521637427,0.594666667,0,0,0,0.427184466,0.382608696,0.483516484,0,0,0,0.51232166,0.498737374,0.526666667
yes,,LoRA,,,Uniform averaged,no,0,,no,MistralLite-7B,,0.76,0.651428571,0.912,0.610036932,0.466135458,0.882463859,0.56712963,0.656431335,0.684,0.561333333,0.542666667,0.674107143,0.605263158,0.648148148,0.684,0.736080178,0.631931166,0.881333333,0,0,0,0.683982684,0.564285714,0.868131868,0,0,0,0.736958935,0.631178707,0.885333333
yes,,LoRA,,,Uniform averaged,no,0,,no,MistralLite-7B,,0.654740608,0.59223301,0.732,0.503067485,0.40272006,0.670018856,0.550925926,0.584622824,0.603333333,0.54,0.538666667,0.566964286,0.622807018,0.685185185,0.580666667,0.644776119,0.583783784,0.72,0,0,0,0.492146597,0.47,0.516483516,0,0,0,0.603654694,0.572281959,0.638666667
,,,,,,yes,0,,no,LLaMA2-13B-Chat,,0.602836879,0.541401274,0.68,0.472108551,0.359108781,0.688874921,0.501157407,0.511605416,0.542,0.488,0.437333333,0.535714286,0.587719298,0.481481481,0.518,0.598480421,0.532778356,0.682666667,0,0,0,0.531531532,0.450381679,0.648351648,0,0,0,0.592216582,0.513196481,0.7
,,,,,,yes,0,,yes,LLaMA2-13B-Chat,,0.602836879,0.541401274,0.68,0.472108551,0.359108781,0.688874921,0.501157407,0.511605416,0.542,0.488,0.437333333,0.535714286,0.587719298,0.481481481,0.518,0.598480421,0.532778356,0.682666667,0,0,0,0.531531532,0.450381679,0.648351648,0,0,0,0.592216582,0.513196481,0.7
,,,,,,no,0,,no,LLaMA2-13B-Chat,,0.60685155,0.512396694,0.744,0.498045348,0.36141844,0.800754243,0.450231481,0.493955513,0.530666667,0.449333333,0.389333333,0.477678571,0.456140351,0.469135802,0.514666667,0.61987041,0.520871143,0.765333333,0,0,0,0.518518519,0.414473684,0.692307692,0,0,0,0.636363636,0.508785942,0.849333333
,,,,,,no,6,Late,no,Meditron-7B,BM25,0.446902655,0.5,0.404,0.310396187,0.295016988,0.327467002,0.592592593,0.525386847,0.501333333,0.598666667,0.605333333,0.540178571,0.552631579,0.524691358,0.507333333,0.46799431,0.50152439,0.438666667,0,0,0,0.471794872,0.442307692,0.505494505,0,0,0,0.283220175,0.519572954,0.194666667
,,,,,,yes,0,,no,LLaMA2-7B-Chat,,0.636942675,0.529100529,0.8,0.476028046,0.340748779,0.789440603,0.300925926,0.477514507,0.524666667,0.297333333,0.265333333,0.5,0.324561404,0.327160494,0.549333333,0.61810391,0.51656222,0.769333333,0,0,0,0.5625,0.436363636,0.791208791,0,0,0,0.642328042,0.53245614,0.809333333
,,,,,,yes,0,,yes,LLaMA2-7B-Chat,,0.623417722,0.515706806,0.788,0.467988669,0.33450324,0.7787555,0.300925926,0.464941973,0.504666667,0.286666667,0.304,0.441964286,0.394736842,0.351851852,0.521333333,0.607501321,0.503062117,0.766666667,0,0,0,0.513618677,0.397590361,0.725274725,0,0,0,0.624869383,0.513745704,0.797333333
,,,,,,no,0,,yes,Mistral-7b-Instruct,,0.636627907,0.5,0.876,0.487299465,0.331891646,0.916404777,0.1875,0.42794971,0.502666667,0.197333333,0.193333333,0.424107143,0.122807018,0.12345679,0.504,0.635386119,0.50154321,0.866666667,0,0,0,0.559726962,0.405940594,0.901098901,0,0,0,0.661202186,0.502074689,0.968
,,,,,,no,0,,no,Mistral-7b-Instruct,,0.652542373,0.504366812,0.924,0.488364577,0.328692626,0.949717159,0.134259259,0.415377176,0.506,0.144,0.129333333,0.433035714,0.070175439,0.074074074,0.502,0.648648649,0.503311258,0.912,0,0,0,0.588996764,0.417431193,1.0,0,0,0,0.663361875,0.501021103,0.981333333
yes,,,LoRA,,Single,no,0,,no,Mistral-7b-Instruct,,0.652542373,0.504366812,0.924,0.488364577,0.328692626,0.949717159,0.134259259,0.415377176,0.506,0.144,0.129333333,0.433035714,0.070175439,0.074074074,0.502,0.648648649,0.503311258,0.912,0,0,0,0.588996764,0.417431193,1.0,0,0,0,0.663361875,0.501021103,0.981333333
,,,,,,no,0,,no,LLaMA2-7B-Chat,,0.641726619,0.501123596,0.892,0.473745238,0.321637427,0.898805783,0.119212963,0.415860735,0.512666667,0.126666667,0.122666667,0.419642857,0.070175439,0.061728395,0.503333333,0.652731591,0.50701107,0.916,0,0,0,0.557823129,0.403940887,0.901098901,0,0,0,0.639574262,0.501898254,0.881333333
,,,,,,no,0,,yes,LLaMA2-7B-Chat,,0.663877266,0.509635974,0.952,0.47370109,0.317976319,0.928346952,0.068287037,0.401112186,0.508,0.069333333,0.062666667,0.4375,0.061403509,0.074074074,0.493333333,0.661157025,0.504201681,0.96,0,0,0,0.577181208,0.415458937,0.945054945,0,0,0,0.638439581,0.496301775,0.894666667
,,,,,,yes,1,Early,no,Mistral-7b-Instruct,BM25,0.583486239,0.538983051,0.636,0.471756086,0.378030303,0.627278441,0.570601852,0.549323017,0.557333333,0.550666667,0.564,0.464285714,0.701754386,0.697530864,0.530666667,0.603345281,0.546536797,0.673333333,0,0,0,0.375,0.356435644,0.395604396,0,0,0,0.564894932,0.526497696,0.609333333
,,,,,,yes,1,Early,no,LLaMA2-13B-Chat,BM25,0.634581105,0.572347267,0.712,0.495002173,0.378279641,0.715901948,0.53125,0.536025145,0.556666667,0.534666667,0.46,0.522321429,0.50877193,0.537037037,0.555333333,0.615384615,0.543411645,0.709333333,0,0,0,0.515837104,0.438461538,0.626373626,0,0,0,0.622524052,0.540806293,0.733333333
,,,,,,yes,1,Early,no,MistralLite-7B,BM25,0.562831858,0.504761905,0.636,0.425339367,0.332272888,0.590823382,0.466435185,0.497340426,0.507333333,0.468,0.446666667,0.571428571,0.456140351,0.530864198,0.498,0.551305404,0.50613155,0.605333333,0,0,0,0.563636364,0.480620155,0.681318681,0,0,0,0.529668957,0.498237368,0.565333333
,,,,,,no,0,,no,Meditron-7B,,0.473251029,0.487288136,0.46,0.36489964,0.308932462,0.445631678,0.528935185,0.501692456,0.492,0.524,0.534666667,0.482142857,0.561403509,0.487654321,0.499333333,0.480926431,0.491643454,0.470666667,0,0,0,0.376344086,0.368421053,0.384615385,0,0,0,0.460875808,0.499222395,0.428
,,,,,,no,1,Early,no,MistralLite-7B,BM25,0.538878843,0.491749175,0.596,0.416134009,0.320434487,0.593337524,0.41087963,0.482591876,0.49,0.410666667,0.413333333,0.508928571,0.412280702,0.512345679,0.502666667,0.532110092,0.491525424,0.58,0,0,0,0.481132075,0.421487603,0.56043956,0,0,0,0.551143201,0.502192982,0.610666667
,,,,,,yes,1,Early,no,LLaMA2-7B-Chat,BM25,0.610051993,0.5382263,0.704,0.463281408,0.341587112,0.719673162,0.392361111,0.48549323,0.516666667,0.4,0.353333333,0.477678571,0.342105263,0.388888889,0.532,0.602739726,0.511627907,0.733333333,0,0,0,0.48,0.402985075,0.593406593,0,0,0,0.606502242,0.523210832,0.721333333
,,,,,,no,1,Early,no,LLaMA2-13B-Chat,BM25,0.630265211,0.516624041,0.808,0.500185667,0.354940711,0.846637335,0.334490741,0.488152805,0.529333333,0.334666667,0.345333333,0.513392857,0.333333333,0.395061728,0.524666667,0.634953464,0.518581081,0.818666667,0,0,0,0.594795539,0.449438202,0.879120879,0,0,0,0.646854879,0.514578408,0.870666667
,,,,,,no,1,Early,no,LLaMA2-13B-Chat,Random,0.658499234,0.533498759,0.86,0.505079309,0.352487562,0.890634821,0.311342593,0.472437137,0.528,0.318666667,0.293333333,0.5,0.263157895,0.351851852,0.515333333,0.647410359,0.516693164,0.866666667,0,0,0,0.597122302,0.443850267,0.912087912,0,0,0,0.652983294,0.508550186,0.912
,,,,,,no,1,Early,no,LLaMA2-7B-Chat,BM25,0.645066274,0.51048951,0.876,0.47327452,0.326491647,0.859836581,0.167824074,0.43762089,0.503333333,0.164,0.178666667,0.477678571,0.192982456,0.296296296,0.510666667,0.637116415,0.501918649,0.872,0,0,0,0.55513308,0.424418605,0.802197802,0,0,0,0.635912698,0.506319115,0.854666667
,,,,,,no,1,Early,no,Mistral-7b-Instruct,BM25,0.663934426,0.504149378,0.972,0.493263592,0.329800763,0.978001257,0.111111111,0.412717602,0.512666667,0.124,0.105333333,0.415178571,0.026315789,0.061728395,0.504,0.664216812,0.506657323,0.964,0,0,0,0.581469649,0.40990991,1.0,0,0,0,0.666068223,0.50202977,0.989333333
,,,,,,no,1,Early,no,Mistral-7b-Instruct,Random,0.669365722,0.50509165,0.992,0.493900532,0.328752863,0.992457574,0.085648148,0.40860735,0.510666667,0.097333333,0.086666667,0.419642857,0.00877193,0.055555556,0.504,0.667873303,0.505479452,0.984,0,0,0,0.583333333,0.411764706,1.0,0,0,0,0.668449198,0.502008032,1.0
,,,,,,no,1,Early,no,MistralLite-7B,Random,0.662198391,0.497983871,0.988,0.483640237,0.319076305,0.998742929,0.015046296,0.385396518,0.498666667,0.016,0.005333333,0.410714286,0.00877193,0.0,0.5,0.665480427,0.499332443,0.997333333,0,0,0,0.579617834,0.408071749,1.0,0,0,0,0.666666667,0.5,1.0
,,,,,,no,1,Early,no,LLaMA2-7B-Chat,Random,0.661290323,0.497975709,0.984,0.48197923,0.318337704,0.991829038,0.011574074,0.386363636,0.5,0.012,0.010666667,0.40625,0.00877193,0.00617284,0.498666667,0.664879357,0.5,0.992,0,0,0,0.575079872,0.405405405,0.989010989,0,0,0,0.664285714,0.499328859,0.992
,,,,,,no,2,Early,yes,MistralLite-7B,BM25,0.451923077,0.56626506,0.376,0.333009394,0.343582888,0.323067253,0.725694444,0.559477756,0.534666667,0.72,0.733333333,0.5,0.763157895,0.666666667,0.494666667,0.457231726,0.548507463,0.392,0,0,0,0.3,0.347826087,0.263736264,0,0,0,0.340869565,0.49,0.261333333
,,,,,,no,2,Early,no,MistralLite-7B,BM25,0.466512702,0.551912568,0.404,0.351966874,0.332402235,0.37397863,0.659722222,0.541344294,0.518,0.657333333,0.665333333,0.486607143,0.675438596,0.598765432,0.504666667,0.467207074,0.522240527,0.422666667,0,0,0,0.350282486,0.360465116,0.340659341,0,0,0,0.399353274,0.507186858,0.329333333
,,,,,,yes,2,Early,no,LLaMA2-13B-Chat,BM25,0.591911765,0.547619048,0.644,0.470043838,0.383697813,0.606536769,0.612268519,0.554883946,0.549333333,0.613333333,0.594666667,0.513392857,0.605263158,0.598765432,0.542,0.5775,0.543529412,0.616,0,0,0,0.463054187,0.419642857,0.516483516,0,0,0,0.570356473,0.537102473,0.608
,,,,,,yes,2,Early,no,Mistral-7b-Instruct,BM25,0.594392523,0.557894737,0.636,0.479941648,0.391356067,0.620364551,0.606481481,0.565038685,0.576666667,0.592,0.570666667,0.53125,0.701754386,0.685185185,0.542666667,0.604361371,0.567251462,0.646666667,0,0,0,0.432432432,0.425531915,0.43956044,0,0,0,0.573913043,0.537209302,0.616
,,,,,,yes,2,Early,yes,Mistral-7b-Instruct,BM25,0.592030361,0.563176895,0.624,0.476213711,0.389154705,0.61345066,0.606481481,0.563104449,0.563333333,0.592,0.588,0.544642857,0.701754386,0.648148148,0.544,0.598405886,0.553916005,0.650666667,0,0,0,0.433333333,0.438202247,0.428571429,0,0,0,0.567635904,0.539663462,0.598666667
,,,,,,yes,2,Late,no,LLaMA2-7B-Chat,BM25,0.560327198,0.573221757,0.548,0.431863727,0.359017076,0.541797612,0.581018519,0.539168279,0.538,0.572,0.541333333,0.526785714,0.640350877,0.574074074,0.537333333,0.55261459,0.535669587,0.570666667,0,0,0,0.397727273,0.411764706,0.384615385,0,0,0,0.534852547,0.537735849,0.532
,,,,,,yes,2,Late,no,MistralLite-7B,BM25,0.519685039,0.511627907,0.528,0.402965993,0.339655172,0.495285984,0.564814815,0.526353965,0.513333333,0.568,0.566666667,0.584821429,0.543859649,0.598765432,0.502666667,0.508748318,0.513586957,0.504,0,0,0,0.541871921,0.491071429,0.604395604,0,0,0,0.487637363,0.502832861,0.473333333
,,,,,,yes,2,Early,yes,MistralLite-7B,BM25,0.567811935,0.518151815,0.628,0.438990507,0.347507331,0.595851666,0.508101852,0.516924565,0.536,0.506666667,0.497333333,0.491071429,0.51754386,0.5,0.513333333,0.578692494,0.529933481,0.637333333,0,0,0,0.462264151,0.404958678,0.538461538,0,0,0,0.53562341,0.51216545,0.561333333
,,,,,,no,2,Early,no,MistralLite-7B,Random,0.509727626,0.496212121,0.524,0.417266187,0.337340054,0.546825896,0.502314815,0.516441006,0.522666667,0.506666667,0.532,0.482142857,0.473684211,0.425925926,0.517333333,0.549685535,0.520238095,0.582666667,0,0,0,0.495652174,0.410071942,0.626373626,0,0,0,0.509485095,0.517906336,0.501333333
,,,,,,yes,2,Early,no,MistralLite-7B,BM25,0.580071174,0.522435897,0.652,0.443275389,0.348435814,0.609050911,0.497685185,0.516441006,0.531333333,0.502666667,0.478666667,0.517857143,0.464912281,0.512345679,0.520666667,0.572124163,0.526315789,0.626666667,0,0,0,0.495327103,0.430894309,0.582417582,0,0,0,0.553693358,0.518002323,0.594666667
